[2025-09-04 18:52:57] [INFO    ] discord.client: logging in using static token
[2025-09-04 18:52:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'LyricLounge', 'primary_guild': None, 'mfa_enabled': False, 'id': '1412030021652189267', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1161', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd2de869c146fdb4541cdc927a3aba427', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1005657593471049738'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'saudi-arabia', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1412030021652189267', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-m81c",{"micros":115476,"calls":["id_created",{"micros":382,"calls":[]},"session_lookup_time",{"micros":337,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-22",{"micros":110743,"calls":["start_session",{"micros":93974,"calls":["discord-api-rpc-d774b8749-z8l4p",{"micros":70063,"calls":["get_user",{"micros":5794},"get_guilds",{"micros":3055},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":15310},"apex_experiments",{"micros":2137},"user_activities",{"micros":9},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":57,"calls":[]},"presence_started",{"micros":10153,"calls":[]},"guilds_started",{"micros":76,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":6466,"calls":[]},"connect_finished",{"micros":6470,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-04 18:52:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:52:59] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d2de869c146fdb4541cdc927a3aba427).
[2025-09-04 18:52:59] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-04 18:52:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_features': None, 'home_header': None, 'lazy': True, 'features': [], 'hub_type': None, 'region': 'deprecated', 'afk_channel_id': None, 'profile': None, 'owner_configured_content_level': 0, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1005657593471049738', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756788057571, 'unicode_emoji': None, 'tags': {'bot_id': '1412030021652189267'}, 'position': 2, 'permissions': '563278787243072', 'name': 'LyricLounge', 'mentionable': False, 'managed': True, 'id': '1412035975013597246', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756788057565, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gold', 'mentionable': False, 'managed': False, 'id': '1412294542815658004', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 12745742}, 'color': 12745742}], 'unavailable': False, 'nsfw': False, 'large': False, 'discovery_splash': None, 'vanity_url_code': None, 'id': '1005657593471049738', 'banner': None, 'inventory_settings': None, 'splash': None, 'mfa_level': 0, 'name': 'Test server', 'premium_tier': 0, 'stage_instances': [], 'max_stage_video_channel_users': 50, 'application_id': None, 'premium_progress_bar_enabled': False, 'verification_level': 0, 'nsfw_level': 0, 'presences': [], 'premium_subscription_count': 0, 'threads': [], 'members': [{'user': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1412030021652189267', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1161', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1412035975013597246'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-01T11:26:50.947000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'activity_instances': [], 'soundboard_sounds': [], 'moderator_reporting': None, 'rules_channel_id': None, 'description': None, 'default_message_notifications': 0, 'explicit_content_filter': 0, 'public_updates_channel_id': None, 'latest_onboarding_question_id': None, 'safety_alerts_channel_id': None, 'icon': None, 'stickers': [], 'application_command_counts': {}, 'afk_timeout': 300, 'max_members': 25000000, 'guild_scheduled_events': [], 'incidents_data': None, 'max_video_channel_users': 25, 'emojis': [], 'system_channel_flags': 0, 'owner_id': '816992763223867424', 'version': 1756725881078, 'preferred_locale': 'en-US', 'system_channel_id': '1005657593471049743', 'embedded_activities': [], 'voice_states': [], 'member_count': 2, 'joined_at': '2025-09-01T11:26:50.947000+00:00', 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1005657593471049741', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1005657593471049742', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1005657593471049741', 'name': 'general', 'last_message_id': '1413152073809264730', 'id': '1005657593471049743', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1005657593471049742', 'name': 'General', 'last_message_id': None, 'id': '1005657593940820079', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': 'This is a good place to talk about .', 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1005657593471049741', 'name': '-', 'last_message_id': None, 'id': '1005657645337821284', 'flags': 0}]}}
[2025-09-04 18:52:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:52:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '805a3ab151264f8428247bde4251ec33', 'members': [{'user': {'username': 'rishik_raj', 'public_flags': 0, 'primary_guild': None, 'id': '816992763223867424', 'global_name': 'Rishik', 'display_name_styles': None, 'display_name': 'Rishik', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1412294542815658004'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-08-07T02:04:14.515000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1412030021652189267', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1161', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1412035975013597246'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-01T11:26:50.947000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1005657593471049738', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-04 18:52:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:52:59] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1005657593471049738.
[2025-09-04 18:53:01] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-04 18:53:01] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-04 18:53:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-04T13:23:03.574000+00:00', 'pinned': False, 'nonce': '1413152383520735232', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412294542815658004'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-08-07T02:04:14.515000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413152384531824843', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/help', 'components': [], 'channel_type': 0, 'channel_id': '1005657593471049743', 'author': {'username': 'rishik_raj', 'public_flags': 0, 'primary_guild': None, 'id': '816992763223867424', 'global_name': 'Rishik', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1005657593471049738'}}
[2025-09-04 18:53:03] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:53:03] [DEBUG   ] discord.client: Dispatching event message
[2025-09-04 18:53:03] [DEBUG   ] discord.client: Dispatching event command
[2025-09-04 18:53:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-04T13:23:04.073000+00:00', 'pinned': False, 'nonce': '6502299535379562285', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412035975013597246'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-01T11:26:50.947000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413152386624655450', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/lyrics <song> - <artist> ==> Fetches and displays song lyrics', 'components': [], 'channel_type': 0, 'channel_id': '1005657593471049743', 'author': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1412030021652189267', 'global_name': None, 'display_name_styles': None, 'discriminator': '1161', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1005657593471049738'}}
[2025-09-04 18:53:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:53:04] [DEBUG   ] discord.client: Dispatching event message
[2025-09-04 18:53:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages with {"content":"/lyrics <song> - <artist> ==> Fetches and displays song lyrics","components":[],"nonce":"6502299535379562285","enforce_nonce":true,"tts":false} has returned 200
[2025-09-04 18:53:04] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-04 18:53:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages has received {'type': 0, 'content': '/lyrics <song> - <artist> ==> Fetches and displays song lyrics', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-04T13:23:04.073000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1413152386624655450', 'channel_id': '1005657593471049743', 'author': {'id': '1412030021652189267', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1161', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6502299535379562285'}
[2025-09-04 18:53:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-04T13:23:04.476000+00:00', 'pinned': False, 'nonce': '1833194725168704597', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412035975013597246'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-01T11:26:50.947000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413152388314955950', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/track <song> - <artist> ==> Gets detailed track information including album, duration, and tags', 'components': [], 'channel_type': 0, 'channel_id': '1005657593471049743', 'author': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1412030021652189267', 'global_name': None, 'display_name_styles': None, 'discriminator': '1161', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1005657593471049738'}}
[2025-09-04 18:53:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:53:04] [DEBUG   ] discord.client: Dispatching event message
[2025-09-04 18:53:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages with {"content":"/track <song> - <artist> ==> Gets detailed track information including album, duration, and tags","components":[],"nonce":"1833194725168704597","enforce_nonce":true,"tts":false} has returned 200
[2025-09-04 18:53:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages has received {'type': 0, 'content': '/track <song> - <artist> ==> Gets detailed track information including album, duration, and tags', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-04T13:23:04.476000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1413152388314955950', 'channel_id': '1005657593471049743', 'author': {'id': '1412030021652189267', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1161', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '1833194725168704597'}
[2025-09-04 18:53:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-04T13:23:04.873000+00:00', 'pinned': False, 'nonce': '8685497258992984784', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412035975013597246'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-01T11:26:50.947000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413152389979967518', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/playlist [add/remove/view/clear] [song] ==> Manage your personal playlist', 'components': [], 'channel_type': 0, 'channel_id': '1005657593471049743', 'author': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1412030021652189267', 'global_name': None, 'display_name_styles': None, 'discriminator': '1161', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1005657593471049738'}}
[2025-09-04 18:53:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:53:05] [DEBUG   ] discord.client: Dispatching event message
[2025-09-04 18:53:05] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages with {"content":"/playlist [add/remove/view/clear] [song] ==> Manage your personal playlist","components":[],"nonce":"8685497258992984784","enforce_nonce":true,"tts":false} has returned 200
[2025-09-04 18:53:05] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages has received {'type': 0, 'content': '/playlist [add/remove/view/clear] [song] ==> Manage your personal playlist', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-04T13:23:04.873000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1413152389979967518', 'channel_id': '1005657593471049743', 'author': {'id': '1412030021652189267', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1161', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '8685497258992984784'}
[2025-09-04 18:53:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-04T13:23:05.438000+00:00', 'pinned': False, 'nonce': '4135425755469167082', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412035975013597246'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-01T11:26:50.947000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413152392349745205', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/help ==> for getting a list of the commands along with their description.', 'components': [], 'channel_type': 0, 'channel_id': '1005657593471049743', 'author': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1412030021652189267', 'global_name': None, 'display_name_styles': None, 'discriminator': '1161', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1005657593471049738'}}
[2025-09-04 18:53:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-04 18:53:05] [DEBUG   ] discord.client: Dispatching event message
[2025-09-04 18:53:05] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages with {"content":"/help ==> for getting a list of the commands along with their description.","components":[],"nonce":"4135425755469167082","enforce_nonce":true,"tts":false} has returned 200
[2025-09-04 18:53:05] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1005657593471049743/messages has received {'type': 0, 'content': '/help ==> for getting a list of the commands along with their description.', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-04T13:23:05.438000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1413152392349745205', 'channel_id': '1005657593471049743', 'author': {'id': '1412030021652189267', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1161', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '4135425755469167082'}
[2025-09-04 18:53:05] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-09-04 18:53:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:53:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:54:21] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:54:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:55:02] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:55:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:55:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:55:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:56:25] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:56:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:57:06] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:57:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:57:47] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:57:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:58:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:58:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:59:10] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:59:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 18:59:51] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 18:59:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 19:00:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 19:00:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 19:01:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 19:01:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-04 19:01:55] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-04 19:01:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
